drug,Cross Carmellose Sodium,Cross Povidone,Sodium Starch Glycolate,Low-Substituted Hydroxypropyl Cellulose,Pregelatinized Starch,MCC,Mannitol,Lactose,Di Calcium Phosphate,Sucrose,Sugartab,Eudragit EPO ,Precirol A TO 5 ,Kyron T-114,Aspartame ,Sodium Saccharin,Sucralose,Sodium Stearyl Fumarate,Magnesium Stearate ,Talc,Aerosil ,Polyvinylpyrrolidone (PVP) K- 30 ,Sodium Lauryl Sulphate,Flavour / Mint ,Classification,,actual dt
25.53,0,2.13,0,0,0,0,46.81,21.28,0,0,0,0,0,0,2.13,0,0,0,1.28,0.85,0,0,0,0,0,,26
25.53,0,4.26,0,0,0,0,44.68,21.28,0,0,0,0,0,0,2.13,0,0,0,1.28,0.85,0,0,0,0,0,,21
25.53,0,6.38,0,0,0,0,42.55,21.28,0,0,0,0,0,0,2.13,0,0,0,1.28,0.85,0,0,0,0,0,,24
33.33,1,0,0,0,0,58.33,0,0,0,0,0,0,0,0,0,3.33,0,0,2,2,0,0,0,0,1,,37
33.33,3,0,0,0,0,56.33,0,0,0,0,0,0,0,0,0,3.33,0,0,2,2,0,0,0,0,1,,38.66
33.33,5,0,0,0,0,54.33,0,0,0,0,0,0,0,0,0,3.33,0,0,2,2,0,0,0,0,1,,32.33
33.33,0,1,0,0,0,58.33,0,0,0,0,0,0,0,0,0,3.33,0,0,2,2,0,0,0,0,1,,43.33
33.33,0,3,0,0,0,56.33,0,0,0,0,0,0,0,0,0,3.33,0,0,2,2,0,0,0,0,1,,37.66
33.33,0,5,0,0,0,54.33,0,0,0,0,0,0,0,0,0,3.33,0,0,2,2,0,0,0,0,1,,31.33
33.33,0,0,1,0,0,58.33,0,0,0,0,0,0,0,0,0,3.33,0,0,2,2,0,0,0,0,1,,42
33.33,0,0,3,0,0,56.33,0,0,0,0,0,0,0,0,0,3.33,0,0,2,2,0,0,0,0,1,,45.66
33.33,0,0,5,0,0,54.33,0,0,0,0,0,0,0,0,0,3.33,0,0,2,2,0,0,0,0,1,,43.33
66.67,0,5,0,0,0,11,13.33,0,0,0,0,0,0,0,2,0,0,0,0.67,0.67,0,0,0,0.67,1,,35
66.67,0,10,0,0,0,6,13.33,0,0,0,0,0,0,0,2,0,0,0,0.67,0.67,0,0,0,0.67,0,,20
66.67,5,0,0,0,0,11,13.33,0,0,0,0,0,0,0,2,0,0,0,0.67,0.67,0,0,0,0.67,1,,40
66.67,10,0,0,0,0,6,13.33,0,0,0,0,0,0,0,2,0,0,0,0.67,0.67,0,0,0,0.67,1,,31
66.67,0,0,5,0,0,11,13.33,0,0,0,0,0,0,0,2,0,0,0,0.67,0.67,0,0,0,0.67,1,,51
66.67,0,0,10,0,0,6,13.33,0,0,0,0,0,0,0,2,0,0,0,0.67,0.67,0,0,0,0.67,1,,43
4,8,0,0,0,0,75.5,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.5,1,,39.36
4,9,0,0,0,0,74.5,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.5,1,,38.83
4,10,0,0,0,0,73.5,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.5,1,,34.3
4,0,8,0,0,0,75.5,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.5,1,,38.73
4,0,9,0,0,0,74.5,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.5,1,,34.36
4,0,10,0,0,0,73.5,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.5,0,,29.3
4,0,0,8,0,0,75.5,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.5,1,,35.6
4,0,0,9,0,0,74.5,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.5,1,,31.3
4,0,0,10,0,0,73.5,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.5,1,,34.3
1.33,0,0,2,0,0,66.67,26.67,0,0,0,0,0,0,0,0,0.67,0,0,0.67,2,0,0,0,0,0,,24
1.33,0,0,2.67,0,0,66,26.67,0,0,0,0,0,0,0,0,0.67,0,0,0.67,2,0,0,0,0,0,,30
